layer,DINO,MoCo-V3,MAE
patch_embed,26.698060989379883,36.32502746582031,32.01130294799805
patch_embed.proj,26.698060989379883,36.32502746582031,32.01130294799805
blocks,494.6696472167969,591.185791015625,623.2369995117188
blocks.0,112.68379974365234,165.55868530273438,146.1241912841797
blocks.0.norm1,29.800668716430664,4.154187202453613,5.734033584594727
blocks.0.attn,73.47582244873047,90.44187927246094,82.83827209472656
blocks.0.attn.qkv,64.05448150634766,81.514892578125,73.926513671875
blocks.0.attn.proj,35.9964485168457,39.18051528930664,37.37770080566406
blocks.0.norm2,28.030942916870117,7.975925922393799,15.905671119689941
blocks.0.mlp,75.0053939819336,138.3831787109375,119.18375396728516
blocks.0.mlp.fc1,52.81880187988281,108.2166976928711,85.46912384033203
blocks.0.mlp.fc2,53.25442886352539,86.25221252441406,83.06673431396484
blocks.1,125.9979019165039,147.12255859375,162.30508422851562
blocks.1.norm1,12.034772872924805,4.706090450286865,8.278308868408203
blocks.1.attn,70.92079162597656,88.52139282226562,92.18242645263672
blocks.1.attn.qkv,61.64524459838867,81.52104187011719,83.6012191772461
blocks.1.attn.proj,35.0662841796875,34.501895904541016,38.83903884887695
blocks.1.norm2,13.357741355895996,9.379929542541504,9.117048263549805
blocks.1.mlp,102.5811767578125,117.04449462890625,133.02090454101562
blocks.1.mlp.fc1,71.71937561035156,87.68785858154297,99.90281677246094
blocks.1.mlp.fc2,73.34416198730469,77.5274658203125,87.83110046386719
blocks.2,132.39405822753906,138.51296997070312,161.6464080810547
blocks.2.norm1,7.872126579284668,4.525983810424805,8.838019371032715
blocks.2.attn,77.46482849121094,84.29328918457031,94.91218566894531
blocks.2.attn.qkv,68.0496597290039,76.98860931396484,84.95130920410156
blocks.2.attn.proj,37.01441955566406,34.32398986816406,42.32756423950195
blocks.2.norm2,13.73369026184082,5.9231061935424805,7.109650135040283
blocks.2.mlp,106.1944580078125,109.66063690185547,130.3582763671875
blocks.2.mlp.fc1,72.85346221923828,82.52815246582031,96.25550079345703
